name,price,type,size
Samsung  750 EVO Series 120GB,0,1,120
Samsung  850 PRO Series 128GB,0,1,128
Samsung  SM961-NVMe Series 128GB MLC -   - Enterprise,0,0,128
Samsung 750 Evo Series,0,1,250
Samsung 750 Evo Series,10401,1,500
Samsung 850 EVO Series,0,1,1000
Samsung 850 EVO Series,0,1,2000
Samsung 850 EVO Series,0,1,250
Samsung 850 EVO Series,0,1,4000
Samsung 850 EVO Series,16799,1,500
Samsung 850 PRO Series Solid State Drive,11199,1,256
Samsung 850 PRO Series Solid State Drive,17430,1,512
Samsung 850 PRO Series Solid State Drive,33599,1,1000
Samsung 850 PRO Series Solid State Drive,58730,1,2000
Samsung 860 EVO Series 250 GB,6438,1,250
Samsung 860 EVO Series 4000 GB,0,1,4000
Samsung 860 PRO Series 1000 GB,71399,1,1000
Samsung 860 PRO Series 2000 GB,37439,1,2000
Samsung 860 PRO Series 256 GB,71399,1,256
Samsung 860 PRO Series 4000 GB,71399,1,4000
Samsung 860 PRO Series 512 GB,71399,1,512
Samsung 870 EVO 1000 GB,0,1,1000
Samsung 870 EVO 2000 GB,2261,1,2000
Samsung 870 EVO 250 GB,3243,1,250
Samsung 870 EVO 4000 GB,0,1,4000
Samsung 870 EVO 500 GB,10677,1,500
Samsung 870 QVO 1000 GB,0,1,1000
Samsung 870 QVO 2000 GB,0,1,2000
Samsung 870 QVO 4000 GB,0,1,4000
Samsung 870 QVO 8000 GB,34999,1,8000
Samsung 960 EVO ,7825,0,250
Samsung 960 EVO ,10499,0,500
Samsung 960 EVO ,29749,0,1000
Samsung 960 PRO ,9730,0,512
Samsung 960 PRO ,17499,0,1000
Samsung 960 PRO ,86730,0,2000
Samsung 970 Evo Plus 250 GB,7426,0,250
Samsung 970 Evo Plus 500 GB,8977,0,500
Samsung 970 PRO 1000 GB,23309,0,1000
Samsung 970 PRO 512 GB,11199,0,512
Samsung 980 1000 GB,0,0,1000
Samsung 980 250 GB,0,0,250
Samsung 980 500 GB,0,0,500
Samsung 980 PRO Series 250 GB,0,0,250
Samsung 990 PRO Series 1000 GB,0,0,1000
Samsung 990 PRO Series 2000 GB,0,0,2000
Samsung PM883 Series 0 GB,0,1,0
Samsung PM883 Series 0 GB,0,1,0
Samsung PM883 Series 240 GB,0,1,240
Samsung PM883 Series 480 GB,13299,1,480
Samsung PM883 Series 960 GB,0,1,960
Samsung PM897 Series 480 GB,0,1,480
Samsung PM981 256 GB,5714,0,256
Samsung SM883 Series 0 GB,0,1,0
Samsung SM883 Series 240 GB,0,1,240
Samsung SM883 Series 480 GB,0,1,480
Samsung SM883 Series 960 GB,0,1,960
SanDisk  Plus 120GB TLC,4123,1,120
SanDisk  Plus 240GB TLC,1399,1,240
SanDisk  Plus 480GB TLC,2589,1,480
SanDisk  Plus 960GB TLC,8749,1,960
SanDisk Ultra II  240GB TLC,5468,1,240
SanDisk Ultra II  480GB TLC,10108,1,480
SanDisk Ultra II  960GB TLC,18830,1,960
Seagate BarraCuda 510 1000 GB,10499,0,1000
Seagate BarraCuda 510 512 GB,6789,0,512
Seagate FireCuda 530 1000 GB,8819,0,1000
Seagate FireCuda 530 2000 GB,16099,0,2000
Seagate FireCuda 530 4000 GB,36399,0,4000
Seagate FireCuda 530 500 GB,5599,0,500
Seagate IronWolf 240 GB,4549,0,240
Seagate IronWolf 480 GB,8901,0,480
Seagate IronWolf 960 GB,17145,0,960
Solidigm P44 Pro 1000 GB,4899,0,1000
Solidigm P44 Pro 2000 GB,12599,0,2000
Solidigm P44 Pro 512 GB,3849,0,512
Team Group DARK L3 Series,0,1,60
Team Group L5 Lite 3D Series,1329,1,120
Team Group L5 Lite 3D Series,2099,1,240
Team Group L5 Lite 3D Series,3919,1,480
Team Group L5 Lite 3D Series,5949,1,1000
Team Group L5 Lite Series,0,1,120
Team Group L5 Lite Series,0,1,240
Team Group L5 Lite Series,0,1,480
Team Group L5 Lite Series,0,1,60
Team Group L7 EVO Series,0,1,120
Team Group L7 EVO Series,0,1,240
Team Group L7 EVO Series 60 GB,0,1,60
Team Group M.2 Lite Solid State Drive,0,0,128
Team Group M.2 Solid State Drive,0,0,512
Team Group M.2 Solid State Drive Lite,0,0,256
Team Group M.2 Solid State Drive Lite,0,0,128
Team Group P30 ,0,0,480
Team Group P30 240 GB,0,0,240
Team Group T-Force Delta R 1000 GB,0,1,1000
Team Group T-Force Delta R 1000 GB,0,1,1000
Team Group T-Force Delta RGB 1000 GB,0,1,1000
Team Group T-Force Delta RGB 1000 GB,0,1,1000
Team Group Ultra L3 EVO Series,0,1,120
Team Group Ultra L3 EVO Series 240 GB,0,1,240
Toshiba OCZ RD400 Series Solid State Drive,0,0,128
Toshiba OCZ RD400 Series Solid State Drive,0,0,256
Toshiba OCZ RD400 Series Solid State Drive,0,0,512
Toshiba OCZ RD400 Series Solid State Drive,53312,0,1000
Toshiba OCZ VX500 Series,0,1,1024
Toshiba OCZ VX500 Series,0,1,512
Toshiba OCZ VX500 Series,0,1,256
Toshiba OCZ VX500 Series,10014,1,128
Toshiba RC500 250 GB,0,0,250
Toshiba RC500 500 GB,0,0,500
Toshiba RD500 1000 GB,0,0,1000
Toshiba RD500 500 GB,0,0,500
Toshiba TR200 240 GB,0,1,240
Toshiba TR200 480 GB,4585,1,480
Toshiba TR200 960 GB,19599,1,960
Transcend   120GB TLC   -,0,0,120
Transcend 2240  128GB MLC   -  2242,5934,0,128
Western Digital Black NVMe M.2 Solid State Drive,4862,0,250
Western Digital Black NVMe M.2 Solid State Drive,6194,0,500
Western Digital Black NVMe M.2 Solid State Drive,7699,0,256
Western Digital Black NVMe M.2 Solid State Drive,11167,0,512
Western Digital Black SN750 NVMe M.2 Solid State Drive 250 GB,4199,0,250
Western Digital Black SN750 NVMe M.2 Solid State Drive 500 GB,4899,0,500
Western Digital Black SN750 Solid State Drive 1000 GB,11899,0,1000
Western Digital Black SN850 NVMe M.2 Solid State Drive 1000 GB,7349,0,1000
Western Digital Black SN850 NVMe M.2 Solid State Drive 1000 GB,9099,0,1000
Western Digital Black SN850 NVMe M.2 Solid State Drive 2000 GB,16799,0,2000
Western Digital Black SN850 NVMe M.2 Solid State Drive 2000 GB,18199,0,2000
Western Digital Black SN850 NVMe M.2 Solid State Drive 500 GB,5949,0,500
Western Digital Blue,3535,1,250
Western Digital Blue,4549,1,500
Western Digital Blue 3D 1000 GB,4059,1,1000
Western Digital Blue 3D 2000 GB,7699,1,2000
Western Digital Blue 3D 250 GB,3149,1,250
Western Digital Blue 3D 500 GB,4199,1,500
Western Digital Blue 3D M.2 - 1 TB 1000 GB,7768,0,1000
Western Digital Blue 3D M.2 - 2 TB 2000 GB,8399,0,2000
Western Digital Blue 3D M.2 Solid State Drive 250 GB,3709,0,250
Western Digital Blue 3D M.2 Solid State Drive 500 GB,4199,0,500
Western Digital Blue M.2 Solid State Drive,0,0,500
Western Digital Blue M.2 Solid State Drive,0,0,1000
Western Digital Blue M.2 Solid State Drive,5049,0,250
Western Digital Blue SN500 NVMe 500 GB,5459,0,500
Western Digital Blue SN550 NVMe 2000 GB,11899,0,2000
Western Digital Blue SN550 NVMe 250 GB,2799,0,250
Western Digital Green,0,1,120
Western Digital Green,0,1,240
Western Digital Green 120 GB,1959,1,120
Western Digital Green 240 GB,2799,1,240
Western Digital Green M.2 Solid State Drive,0,0,240
Western Digital Green M.2 Solid State Drive 120 GB,2379,0,120
Western Digital Green M.2 Solid State Drive 240 GB,2938,0,240
ZOTAC T400,0,1,120
